year,area,jurisdiction,origin
2016,33,Île-du-Prince-Édouard,Activités humaines
2016,0,Île-du-Prince-Édouard,Foudre
2016,0,Île-du-Prince-Édouard,Indéterminée
2016,334,Québec,Activités humaines
2016,563,Québec,Brûlage dirigé
2016,33036,Québec,Foudre
2016,2774,Saskatchewan,Activités humaines
2016,1025,Saskatchewan,Brûlage dirigé
2016,251991,Saskatchewan,Foudre
2016,0,Saskatchewan,Indéterminée
2016,2,Yukon,Activités humaines
2016,21535,Yukon,Foudre
2017,6834,Alberta,Activités humaines
2017,867,Alberta,Brûlage dirigé
2017,116704,Alberta,Foudre
2017,25364,Alberta,Indéterminée
2017,225058,Colombie-Britannique,Activités humaines
2017,45,Colombie-Britannique,Brûlage dirigé
2017,1004756,Colombie-Britannique,Foudre
2017,1,Colombie-Britannique,Indéterminée
2017,1368,Manitoba,Activités humaines
2017,223056,Manitoba,Foudre
2017,530,Nouveau-Brunswick,Activités humaines
2017,20,Nouveau-Brunswick,Foudre
2017,18,Nouveau-Brunswick,Indéterminée
2017,62,Terre-Neuve-et-Labrador,Activités humaines
2017,638,Terre-Neuve-et-Labrador,Foudre
2017,0,Terre-Neuve-et-Labrador,Indéterminée
2017,573,Nouvelle-Ecosse,Activités humaines
2017,0,Nouvelle-Ecosse,Brûlage dirigé
2017,11,Territoires du Nord-Ouest,Activités humaines
2017,1033066,Territoires du Nord-Ouest,Foudre
2017,87,Ontario,Activités humaines
2017,445,Ontario,Brûlage dirigé
2017,112233,Ontario,Foudre
2017,164,Ontario,Indéterminée
2017,0,Île-du-Prince-Édouard,Activités humaines
2017,0,Île-du-Prince-Édouard,Foudre
2017,7,Île-du-Prince-Édouard,Indéterminée
2017,1693,Québec,Activités humaines
2017,53,Québec,Brûlage dirigé
2017,36699,Québec,Foudre
2017,451,Saskatchewan,Activités humaines
2017,780,Saskatchewan,Brûlage dirigé
2017,398567,Saskatchewan,Foudre
2017,19,Yukon,Activités humaines
2017,399261,Yukon,Foudre
2018,1892,Alberta,Activités humaines
2018,339,Alberta,Brûlage dirigé
2018,69845,Alberta,Foudre
2018,12941,Alberta,Indéterminée
2018,121608,Colombie-Britannique,Activités humaines
2018,15,Colombie-Britannique,Brûlage dirigé
2018,1236349,Colombie-Britannique,Foudre
2018,2964,Colombie-Britannique,Indéterminée
2018,78904,Manitoba,Activités humaines
2018,3,Manitoba,Brûlage dirigé
2018,155521,Manitoba,Foudre
2018,50,Manitoba,Indéterminée
2018,250,Nouveau-Brunswick,Activités humaines
2018,17,Nouveau-Brunswick,Foudre
2018,44,Nouveau-Brunswick,Indéterminée
2018,355,Terre-Neuve-et-Labrador,Activités humaines
2018,40,Terre-Neuve-et-Labrador,Foudre
2018,0,Terre-Neuve-et-Labrador,Indéterminée
2018,196,Nouvelle-Ecosse,Activités humaines
2018,1,Nouvelle-Ecosse,Brûlage dirigé
2018,2,Nouvelle-Ecosse,Foudre
2018,0,Nouvelle-Ecosse,Indéterminée
2018,170,Territoires du Nord-Ouest,Activités humaines
2018,22007,Territoires du Nord-Ouest,Foudre
2018,15994,Ontario,Activités humaines
2018,7,Ontario,Brûlage dirigé
2018,249676,Ontario,Foudre
2018,20,Ontario,Indéterminée
2018,7,Île-du-Prince-Édouard,Activités humaines
2018,15772,Québec,Activités humaines
2018,55,Québec,Brûlage dirigé
2018,70489,Québec,Foudre
2018,1,Québec,Indéterminée
2018,47161,Saskatchewan,Activités humaines
2018,36656,Saskatchewan,Brûlage dirigé
2018,108916,Saskatchewan,Foudre
2018,0,Saskatchewan,Indéterminée
2018,6487,Yukon,Activités humaines
2018,74098,Yukon,Foudre
2019,3026,Alberta,Activités humaines
2019,141,Alberta,Brûlage dirigé
2019,164062,Alberta,Foudre
2019,836602,Alberta,Indéterminée
2019,4666,Colombie-Britannique,Activités humaines
2019,38,Colombie-Britannique,Brûlage dirigé
2019,15585,Colombie-Britannique,Foudre
2019,1256,Colombie-Britannique,Indéterminée
2019,7940,Manitoba,Activités humaines
2019,39,Manitoba,Brûlage dirigé
2019,63324,Manitoba,Foudre
2019,33,Manitoba,Indéterminée
2019,184,Nouveau-Brunswick,Activités humaines
2019,14,Nouveau-Brunswick,Foudre
2019,30,Nouveau-Brunswick,Indéterminée
2019,107,Terre-Neuve-et-Labrador,Activités humaines
2019,209,Terre-Neuve-et-Labrador,Foudre
2019,134,Nouvelle-Ecosse,Activités humaines
2019,1,Nouvelle-Ecosse,Foudre
2019,2,Nouvelle-Ecosse,Indéterminée
2019,5,Territoires du Nord-Ouest,Activités humaines
2019,105163,Territoires du Nord-Ouest,Foudre
2019,0,Territoires du Nord-Ouest,Indéterminée
2020,2949,Alberta,Activités humaines
2020,1012,Colombie-Britannique,Activités humaines
2020,34268,Manitoba,Activités humaines
2020,1224,Nouveau-Brunswick,Activités humaines
2020,148,Terre-Neuve-et-Labrador,Activités humaines
2020,678,Nouvelle-Ecosse,Activités humaines
2020,371,Territoires du Nord-Ouest,Activités humaines
2019,16274,Ontario,Activités humaines
2020,985,Ontario,Activités humaines
2019,14,Île-du-Prince-Édouard,Activités humaines
2019,5087,Québec,Activités humaines
2020,52090,Québec,Activités humaines
2019,1531,Saskatchewan,Activités humaines
2020,41398,Saskatchewan,Activités humaines
2019,1331,Yukon,Activités humaines
2020,12,Yukon,Activités humaines
2020,393,Alberta,Foudre
2020,11336,Colombie-Britannique,Foudre
2020,15035,Manitoba,Foudre
2020,51,Nouveau-Brunswick,Foudre
2020,4185,Terre-Neuve-et-Labrador,Foudre
2020,18,Nouvelle-Ecosse,Foudre
2020,20768,Territoires du Nord-Ouest,Foudre
2019,253446,Ontario,Foudre
2020,14471,Ontario,Foudre
2019,4517,Québec,Foudre
2020,7897,Québec,Foudre
2019,46622,Saskatchewan,Foudre
2020,780,Saskatchewan,Foudre
2019,254735,Yukon,Foudre
2020,3452,Yukon,Foudre
2020,1250,Alberta,Brûlage dirigé
2020,123,Colombie-Britannique,Brûlage dirigé
2019,1,Ontario,Brûlage dirigé
2020,4,Ontario,Brûlage dirigé
2019,89,Québec,Brûlage dirigé
2020,15,Québec,Brûlage dirigé
2020,206,Alberta,Indéterminée
2020,2201,Colombie-Britannique,Indéterminée
2020,115,Nouveau-Brunswick,Indéterminée
2020,1,Terre-Neuve-et-Labrador,Indéterminée
2020,1,Nouvelle-Ecosse,Indéterminée
2019,6,Ontario,Indéterminée
2020,24,Ontario,Indéterminée
2019,0,Saskatchewan,Indéterminée
2020,774,Saskatchewan,Indéterminée
2021,54088,Alberta,Indéterminée
2021,869255,Colombie-Britannique,Indéterminée
2021,1266777,Manitoba,Indéterminée
2021,427,Nouveau-Brunswick,Indéterminée
2021,324,Terre-Neuve-et-Labrador,Indéterminée
2021,197,Nouvelle-Ecosse,Indéterminée
2021,156630,Territoires du Nord-Ouest,Indéterminée
2021,793326,Ontario,Indéterminée
2021,42538,Parcs Canada,Indéterminée
2021,0,Île-du-Prince-Édouard,Indéterminée
2021,49748,Québec,Indéterminée
2021,956084,Saskatchewan,Indéterminée
2021,118126,Yukon,Indéterminée
